collection,gpp_no,accession_number,culture_general,culture_specific,country_production,region_production,date_earliest,mean_date,date_latest,period,art_period,war,dynasty,dynasty_simple,reign,material,technique,description,ware,maker,object_type,dimensions,N_gpp_no
bapd,bapd_1006590,"frankfurt, liebieghaus: 2632",european,greek,greece,attica,-625,-462.5,-300,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_301680,"rugby, school: 11",european,greek,greece,attica,-625,-462.5,-300,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,amphora_neck,NA,1
bapd,bapd_9003522,"barcelona, museo arqueologico",european,greek,greece,attica,-625,-462.5,-300,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9003523,"barcelona, museo arqueologico",european,greek,greece,attica,-625,-462.5,-300,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9008520,,european,greek,greece,attica,-625,-462.5,-300,NA,Classical,Before,NA,NA,NA,ceramic,athenian_black-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_1000454,"cambridge, fitzwilliam museum: 28.18",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_reserving,NA,NA,NA,oinochoe,NA,1
bapd,bapd_1000513,"reading, university: 35iv5",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_bell,NA,1
bapd,bapd_1000838,"cambridge, fitzwilliam museum: g171",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_1006068,"kiel, antikensammlung: b277",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_1008468,"zurich, öffentliche sammlungen: 2544",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_calyx,NA,1
bapd,bapd_1009197,"paris, musée du louvre: mnc613",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,oinochoe,NA,1
bapd,bapd_1009201,"paris, musée du louvre: ca1795",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_calyx,NA,1
bapd,bapd_1009208,"paris, musée du louvre: ca925",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_bell,NA,1
bapd,bapd_1009210,"paris, musée du louvre: ca1341",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_bell,NA,1
bapd,bapd_1011486,"brussels, musées royaux: a359",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_1012159,,european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,hydria,NA,1
bapd,bapd_1012279,"thebes, archaeological museum: 700",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_bell,NA,1
bapd,bapd_1012282,"thebes, archaeological museum: 698",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_1012887,"bucharest, mirsr",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_1013515,"copenhagen, national museum: 5182",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,olpe,NA,1
bapd,bapd_1013520,"copenhagen, national museum",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_1013521,"copenhagen, national museum: chrviii986",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_1013522,"copenhagen, national museum: 4854",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_1013523,"copenhagen, national museum: 343 | copenhagen, national museum: abc948",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_23938,"oxford, ashmolean museum: 1889.1283",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,hydria,NA,1
bapd,bapd_9003347,"sarajevo, national museum: 417",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_bell,NA,1
bapd,bapd_9005886,"capua, museo campano: 8075",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9005889,"capua, museo campano: 177",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos,NA,1
bapd,bapd_9005901,"capua, museo campano",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_9023700,"reading, reading museum and art gallery: 1964.1154.1",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_bell,NA,1
bapd,bapd_9025108,"berlin, antikensammlung: 4519",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_calyx,NA,1
bapd,bapd_9025110,"berlin, antikensammlung: f2935",european,greek,greece,boeotia,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,boeotian_red-figure,NA,NA,NA,krater_bell,NA,1
bapd,bapd_9037724,"athens, agora museum: p15031",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
bapd,bapd_9037729,"athens, agora museum: p15527",european,greek,greece,attica,-530,-415,-300,NA,Classical,During,NA,NA,NA,ceramic,athenian_red-figure,NA,NA,NA,lekythos_squat,NA,1
