collection,gpp_no,accession_number,culture_general,culture_specific,country_production,region_production,date_earliest,mean_date,date_latest,period,art_period,dynasty,dynasty_simple,reign,material,technique,description,ware,maker,object_type,dimensions,N_gpp_no
amphora_collection,amph_p19037,P19037,european,greek,greece,NA,-850,-805,-760,NA,Geometric,NA,NA,NA,pottery,banded_ware,NA,NA,NA,amphora,,2
amphora_collection,amph_p6410,P6410,european,greek,greece,NA,-850,-805,-760,NA,Geometric,NA,NA,NA,pottery,banded_ware,NA,NA,NA,amphora,,2
bapd,bapd_1000473,"cambridge, fitzwilliam museum: g115",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,lekythos,NA,1
bapd,bapd_1003042,"munich, antikensammlungen: 6157",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,krater,NA,1
bapd,bapd_1008937,"paris, musée du louvre: ca1929",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,lekythos,NA,1
bapd,bapd_1010367,"athens, national museum: 18475",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,amphora_neck,NA,1
bapd,bapd_1010825,"athens, national museum: 15315",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,oinochoe,NA,1
bapd,bapd_1010833,"athens, national museum: 15322",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,oinochoe,NA,1
bapd,bapd_1010842,"athens, national museum: 195",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,hydria,NA,1
bapd,bapd_1013194,"bucharest, private, severano: 18808",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,lekythos,NA,1
bapd,bapd_1013685,"prague, charles university",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,oinochoe,NA,1
bapd,bapd_150002,"oxford, ashmolean museum: 1961.553",european,greek,greece,attica,-1050,-975,-900,iron age,Geometric,NA,NA,NA,ceramic,athenian_protogeometric,NA,NA,NA,oinochoe,NA,1
